date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:51:37	11874/11874	---MCZ	200	added ('OK')	text/html	etag:W/%2263d4f5f0-2e62%22	http://klif.kwst.net/site/index.html	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/index.html	(from )
22:51:37	3714/3714	---MC-	424	error ('Failed%20Dependency')	text/html	date:Wed,%2013%20Dec%202023%2017:21:37%20GMT	http://klif.kwst.net/robots.txt		(from )
22:51:38	1085/1085	---M--	200	added ('OK')	text/css	etag:%2252dfc2cc-43d%22	http://klif.kwst.net/site/css/reset.css	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/css/reset.css	(from http://klif.kwst.net/site/index.html)
22:51:38	2148/2148	---MCZ	200	added ('OK')	text/css	etag:W/%2252e0ece2-864%22	http://klif.kwst.net/site/css/idangerous.swiper.css	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/css/idangerous.swiper.css	(from http://klif.kwst.net/site/index.html)
22:51:39	17780/17780	---MCZ	200	added ('OK')	text/css	etag:W/%2252cc273a-4574%22	http://klif.kwst.net/site/css/font-awesome.min.css	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/css/font-awesome.min.css	(from http://klif.kwst.net/site/index.html)
22:51:39	14940/14940	---MCZ	200	added ('OK')	text/css	etag:W/%2263d4f8dc-3a5c%22	http://klif.kwst.net/site/css/style.css	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/css/style.css	(from http://klif.kwst.net/site/index.html)
22:51:39	932/932	---M--	200	added ('OK')	image/x-icon	etag:%2252e182e2-3a4%22	http://klif.kwst.net/site/img/favicon.ico	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/img/favicon.ico	(from http://klif.kwst.net/site/index.html)
22:51:40	3162/3162	---M--	200	added ('OK')	image/png	etag:%2252df82ec-c5a%22	http://klif.kwst.net/site/img/logo.png	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/img/logo.png	(from http://klif.kwst.net/site/index.html)
22:51:43	4465/4465	---MCZ	200	added ('OK')	application/javascript	etag:W/%22645b6e82-1171%22	http://klif.kwst.net/site/js/init.js	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/js/init.js	(from http://klif.kwst.net/site/index.html)
22:51:44	58068/58068	---MCZ	200	added ('OK')	application/javascript	etag:W/%22645b6df5-e2d4%22	http://klif.kwst.net/site/js/plugins.js	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/js/plugins.js	(from http://klif.kwst.net/site/index.html)
22:51:46	92633/92633	---MCZ	200	added ('OK')	application/javascript	etag:W/%2252e27422-169d9%22	http://klif.kwst.net/site/js/jquery.min.js	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/js/jquery.min.js	(from http://klif.kwst.net/site/index.html)
22:51:50	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2252cc273a-953d%22	http://klif.kwst.net/site/fonts/fontawesome-webfont.eot?v=4.0.3	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/fonts/fontawesome-webfontba72.eot	(from http://klif.kwst.net/site/css/font-awesome.min.css)
22:51:50	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2252cc273a-953d%22	http://klif.kwst.net/site/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/fonts/fontawesome-webfontd41d.eot	(from http://klif.kwst.net/site/css/font-awesome.min.css)
22:51:55	44432/44432	---M--	200	added ('OK')	font/woff	etag:%2252cc273a-ad90%22	http://klif.kwst.net/site/fonts/fontawesome-webfont.woff?v=4.0.3	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/fonts/fontawesome-webfontba72.woff	(from http://klif.kwst.net/site/css/font-awesome.min.css)
22:51:55	202148/202148	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2252cc273a-315a4%22	http://klif.kwst.net/site/fonts/fontawesome-webfont.svg?v=4.0.3	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/fonts/fontawesome-webfontba72.svg	(from http://klif.kwst.net/site/css/font-awesome.min.css)
22:51:55	213/213	---M--	200	added ('OK')	image/png	etag:%2252df7052-d5%22	http://klif.kwst.net/site/img/overlays/01.png	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/img/overlays/01.png	(from http://klif.kwst.net/site/css/style.css)
22:51:56	941/941	---M--	200	added ('OK')	image/png	etag:%2252e12cec-3ad%22	http://klif.kwst.net/site/img/overlays/01@2x.png	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/img/overlays/01@2x.png	(from http://klif.kwst.net/site/css/style.css)
22:52:00	80652/80652	---M--	200	added ('OK')	application/octet-stream	etag:%2252cc273a-13b0c%22	http://klif.kwst.net/site/fonts/fontawesome-webfont.ttf?v=4.0.3	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/fonts/fontawesome-webfontba72.ttf	(from http://klif.kwst.net/site/css/font-awesome.min.css)
22:52:00	199489/199489	---M--	200	added ('OK')	image/jpeg	etag:%2263d4fbba-30b41%22	http://klif.kwst.net/site/img/bg.jpg	C:/My%20Web%20Sites/clothing/klif.kwst.net/site/img/bg.jpg	(from http://klif.kwst.net/site/index.html)
